"","Sex","Age","Household Type","District","House_Clothes","Cooking","Shopping","Admin","Repairs","Childcare","Elderly_care","Other_care","House_Clothes_Help","Cooking_Help","Shopping_Help","Admin_Help","Repairs_Help","Childcare_Help","Elderly_care_Help","Other_care_Help","Overall_chores"
"1374","Female",55,"Other","Distrito de Tetuán","Both","Man","Man","Both","Man",NA,"Woman","None","No help","No help","No help","No help","No help","No answer","No help","No help","Man"
"1375","Female",69,"Other","Distrito de Tetuán","Woman","Woman","Woman","Both","Woman",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"1376","Female",81,"Other","Distrito de Tetuán","None","Woman","Woman","Woman","None",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"1377","Female",76,"Other","Distrito de Tetuán","None","Woman","Woman","Woman","Woman",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"1378","Female",56,"Other","Distrito de Tetuán","Woman","Woman","Woman","Woman","None",NA,"Woman","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Woman"
"1379","Female",26,"Other","Distrito de Tetuán","Woman","Both","Woman","Woman","Woman",NA,NA,"Woman","No help","No help","No help","No help","No help","No answer","No answer","No help","Woman"
"1380","Female",65,"Other","Distrito de Tetuán","Both","Both","Both","Both","Both",NA,"Both","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1381","Female",43,"Other","Distrito de Tetuán","Woman","Woman","Woman","Woman","Woman","Woman","Woman","None","No help","No help","No help","No help","Paid help","No help","Paid help","No help","Woman"
"1382","Female",91,"Other","Distrito de Tetuán","None","Both","Both","Man","None",NA,"Man","Man","Paid help","No help","No help","No help","Paid help","No answer","Paid help","Paid help","Man"
"1383","Female",60,"Other","Distrito de Tetuán","Both","Woman","Both","Both","Both",NA,NA,"Both","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"1384","Female",66,"Other","Distrito de Tetuán","Woman","Woman","Woman","Woman","None",NA,"Woman","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"1385","Male",44,"Other","Distrito de Tetuán","Both","Both","Both","Both","Both",NA,"None","Both","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1386","Male",40,"Other","Distrito de Tetuán","Woman","Woman","Woman","Woman","None",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"1387","Male",46,"Other","Distrito de Tetuán","None","Woman","Woman","Woman","None",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"1388","Female",59,"Other","Distrito de Tetuán","Both","Both","Both","Both","Both",NA,"Both","Both","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1389","Male",75,"Single parent","Distrito de Chamberí","Both","Both","Both","Both","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1390","Female",79,"Single parent","Distrito de Chamberí","Woman","Woman","Man","Both","None",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"1391","Female",60,"Single parent","Distrito de Chamberí","None","None","Woman","Woman","Woman",NA,NA,"None","No help","Paid help","No help","No help","No help","No answer","No answer","No help","Woman"
"1392","Female",89,"Single parent","Distrito de Chamberí","None","Woman","Both","Woman","None",NA,"Both","Both","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"1393","Female",71,"Single parent","Distrito de Chamberí","Woman","Woman","Woman","Woman","None",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","Woman"
"1394","Female",62,"Single parent","Distrito de Chamberí","Both","Man","Woman","Woman","Woman",NA,NA,"None","No help","No help","No help","No help","Unpaid help","No answer","No answer","No help","Woman"
"1395","Female",62,"Single parent","Distrito de Chamberí","Woman","Woman","Woman","Woman","Both",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Woman"
"1396","Female",55,"Single parent","Distrito de Chamberí","Woman","Woman","Woman","Woman","None",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Woman"
"1397","Female",55,"Single parent","Distrito de Chamberí","Both","Both","None","Woman","None",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","None"
"1398","Female",58,"Single parent","Distrito de Chamberí","Woman","Woman","Woman","Woman","Woman",NA,NA,"Woman","Unpaid help","Unpaid help","Unpaid help","Unpaid help","Unpaid help","No answer","No answer","Unpaid help","Woman"
"1399","Male",70,"Couple without children","Distrito de Chamberí","Both","Woman","Both","Both","Man",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1400","Male",77,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1401","Female",61,"Couple without children","Distrito de Chamberí","Woman","Man","Woman","Woman","Woman",NA,"None","Woman","No help","No help","No help","No help","No help","No answer","No help","Paid help","Woman"
"1402","Male",70,"Couple without children","Distrito de Chamberí","Woman","Woman","Man","Man","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Man"
"1403","Male",71,"Couple without children","Distrito de Chamberí","Woman","Man","Man","Man","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Man"
"1404","Female",71,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1405","Male",27,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Man",NA,NA,"Both","No help","No help","No help","No help","Unpaid help","No answer","No answer","Unpaid help","Both"
"1406","Male",73,"Couple without children","Distrito de Chamberí","Both","Woman","Both","Both","Both",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"1407","Male",75,"Couple without children","Distrito de Chamberí","Woman","Woman","Both","Both","None",NA,"None","None","No help","No help","No help","No help","Unpaid help","No answer","No help","No help","None"
"1408","Male",96,"Couple without children","Distrito de Chamberí","None","None","None","None","None",NA,"None","None","Paid help","Paid help","Paid help","Paid help","Paid help","No answer","Paid help","No help","None"
"1409","Male",71,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Both","Man",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"1410","Male",59,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,NA,"Both","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"1411","Male",81,"Couple without children","Distrito de Chamberí","None","Both","Man","Man","Man",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","Man"
"1412","Male",68,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1413","Female",46,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"1414","Female",76,"Couple without children","Distrito de Chamberí","Both","Woman","Both","Both","None",NA,"None","None","Paid help","Paid help","No help","No help","Paid help","No answer","No help","No help","None"
"1415","Female",88,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Both","None",NA,"None","None","No help","No help","Unpaid help","No help","Unpaid help","No answer","No help","No help","None"
"1416","Female",60,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"Both","Both","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1417","Male",67,"Couple without children","Distrito de Chamberí","Man","Man","Man","Man","Man",NA,"Man","None","No help","No help","No help","No help","No help","No answer","No help","No help","Man"
"1418","Male",62,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Both","Both",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Woman"
"1419","Male",75,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Man","None",NA,"None","None","Paid help","Paid help","Paid help","No help","No help","No answer","No help","No help","None"
"1420","Female",74,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"Both","Both","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1421","Female",68,"Couple without children","Distrito de Chamberí","Woman","Both","Both","Both","Man",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"1422","Male",81,"Couple without children","Distrito de Chamberí","Both","Woman","Both","Woman","Both",NA,"Both","Both","No help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"1423","Female",74,"Couple without children","Distrito de Chamberí","Both","Woman","Woman","Woman","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"1424","Male",82,"Couple without children","Distrito de Chamberí","Woman","Woman","Man","Man","Man",NA,"Man","None","Unpaid help","Unpaid help","No help","No help","No help","No answer","Unpaid help","No help","Man"
"1425","Male",75,"Couple without children","Distrito de Chamberí","Woman","Woman","Both","Man","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"1426","Male",72,"Couple without children","Distrito de Chamberí","Both","Woman","Both","Man","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"1427","Male",65,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"Both","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1428","Female",71,"Couple without children","Distrito de Chamberí","Both","Man","Both","Woman","Man",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Man"
"1429","Male",63,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"1430","Male",71,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1431","Female",65,"Couple without children","Distrito de Chamberí","Both","Both","Both","Man","None",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","None"
"1432","Male",67,"Couple without children","Distrito de Chamberí","Both","Both","Both","Woman","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1433","Male",73,"Couple without children","Distrito de Chamberí","None","Woman","Both","Man","Both",NA,"Both","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"1434","Male",63,"Couple without children","Distrito de Chamberí","Both","Both","Both","Woman","Both",NA,NA,"Both","No help","No help","No help","No help","No help","No answer","No answer","Paid help","Both"
"1435","Female",58,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Woman","None",NA,NA,"None","No help","No help","No help","No help","Paid help","No answer","No answer","No help","Woman"
"1436","Female",83,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Woman","Woman",NA,"Woman","Woman","Unpaid help","Unpaid help","Unpaid help","Unpaid help","Unpaid help","No answer","Unpaid help","Unpaid help","Woman"
"1437","Male",68,"Couple without children","Distrito de Chamberí","Both","Both","Man","Woman","Man",NA,"None","Woman","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","Man"
"1438","Female",64,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Both","Woman",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","Woman"
"1439","Male",56,"Couple without children","Distrito de Chamberí","None","Both","Both","Both","Man",NA,NA,"None","Paid help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"1440","Female",75,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Woman","Woman",NA,"Woman","Woman","Unpaid help","Unpaid help","Unpaid help","Unpaid help","Unpaid help","No answer","Unpaid help","Unpaid help","Woman"
"1441","Male",84,"Couple without children","Distrito de Chamberí","None","Man","Man","None","None",NA,"None","None","Paid help","No help","No help","Unpaid help","Unpaid help","No answer","Paid help","No help","None"
"1442","Male",65,"Couple without children","Distrito de Chamberí","Both","Woman","Both","Both","Both",NA,"Both","Both","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1443","Female",65,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"Both","Both","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1444","Female",70,"Couple without children","Distrito de Chamberí","None","Woman","Both","Both","Both",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1445","Male",76,"Couple without children","Distrito de Chamberí","Both","Man","Man","Both","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Man"
"1446","Female",88,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Woman","None",NA,"Woman","None","Paid help","No help","No help","No help","Unpaid help","No answer","Paid help","No help","Woman"
"1447","Female",62,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1448","Male",62,"Couple without children","Distrito de Chamberí","None","Both","Both","Man","Woman",NA,NA,"None","Paid help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"1449","Male",78,"Couple without children","Distrito de Chamberí","None","None","Both","Man","None",NA,"None","None","Paid help","Paid help","No help","No help","Paid help","No answer","No help","No help","None"
"1450","Female",86,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Woman","Man",NA,"Woman","None","No help","No help","Unpaid help","Unpaid help","No help","No answer","No help","No help","Woman"
"1451","Female",75,"Couple without children","Distrito de Chamberí","Woman","Woman","Both","Man","Woman",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","Woman"
"1452","Male",73,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Man","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"1453","Female",70,"Couple without children","Distrito de Chamberí","None","Both","Both","Both","Both",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1454","Female",70,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Both","Both",NA,"Both","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1455","Female",89,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Both","None",NA,"None","None","Paid help","No help","No help","Unpaid help","No help","No answer","No help","No help","None"
"1456","Male",76,"Couple without children","Distrito de Chamberí","Both","Woman","Both","Both","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"1457","Male",65,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1458","Male",73,"Couple without children","Distrito de Chamberí","Woman","Woman","Both","None","Man",NA,"None","None","No help","No help","Unpaid help","Unpaid help","No help","No answer","No help","No help","None"
"1459","Male",38,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"1460","Male",52,"Couple without children","Distrito de Chamberí","Man","Woman","Man","Woman","Man",NA,NA,"Both","No help","No help","No help","No help","Unpaid help","No answer","No answer","No help","Woman"
"1461","Female",84,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Woman","None",NA,"Woman","None","No help","No help","No help","No help","Paid help","No answer","Unpaid help","No help","Woman"
"1462","Female",72,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","Paid help","No help","Both"
"1463","Female",54,"Couple without children","Distrito de Chamberí","None","None","None","Woman","None",NA,NA,"None","Paid help","Paid help","Paid help","No help","Paid help","No answer","No answer","No help","None"
"1464","Male",65,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"None","None","Paid help","Paid help","Paid help","No help","No help","No answer","No help","No help","Both"
"1465","Female",90,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","None",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1466","Female",69,"Couple without children","Distrito de Chamberí","Woman","Both","Man","Man","Man",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Man"
"1467","Female",90,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"None","None","Paid help","Paid help","Paid help","No help","No help","No answer","Paid help","No help","Both"
"1468","Male",66,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"Both","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1469","Female",70,"Couple without children","Distrito de Chamberí","None","Woman","Woman","Both","Both",NA,"None","Both","Paid help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1470","Male",65,"Couple without children","Distrito de Chamberí","Woman","Man","Man","Man","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Man"
"1471","Male",70,"Couple without children","Distrito de Chamberí","Woman","Both","None","Man","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"1472","Male",69,"Couple without children","Distrito de Chamberí","Woman","Woman","Both","Both","Man",NA,"None","None","Paid help","Paid help","No help","No help","Paid help","No answer","No help","No help","Both"
"1473","Female",46,"Couple without children","Distrito de Chamberí","Woman","Both","Woman","Both","Both",NA,NA,"None","No help","No help","No help","No help","Paid help","No answer","No answer","No help","Both"
"1474","Female",71,"Couple without children","Distrito de Chamberí","None","None","None","Man","Both",NA,"None","None","Paid help","Paid help","Paid help","Paid help","Paid help","No answer","No help","No help","None"
"1475","Female",73,"Couple without children","Distrito de Chamberí","Both","Woman","Both","Man","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"1476","Female",58,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Both","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"1477","Female",75,"Couple without children","Distrito de Chamberí","Both","Both","Man","Both","Both",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"1478","Female",83,"Couple without children","Distrito de Chamberí","None","None","Woman","Woman","None",NA,"None","None","Paid help","Paid help","No help","No help","Paid help","No answer","No help","No help","None"
"1479","Female",62,"Couple without children","Distrito de Chamberí","None","Both","Both","Both","Woman",NA,NA,"None","Paid help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"1480","Female",76,"Couple without children","Distrito de Chamberí","Both","Man","Both","Woman","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"1481","Male",78,"Couple without children","Distrito de Chamberí","None","Both","Both","Man","None",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"1482","Female",88,"Couple without children","Distrito de Chamberí","None","None","Both","Man","None",NA,"None","None","Paid help","Paid help","No help","No help","No help","No answer","No help","No help","None"
"1483","Male",73,"Couple without children","Distrito de Chamberí","None","Both","Both","Both","None",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1484","Female",75,"Couple without children","Distrito de Chamberí","Woman","Woman","None","None","None",NA,"None","None","Paid help","Paid help","No help","No help","Paid help","No answer","No help","No help","None"
"1485","Male",59,"Couple without children","Distrito de Chamberí","None","None","None","None","None",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","None"
"1486","Female",80,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Woman","Woman",NA,"Woman","Woman","Unpaid help","Unpaid help","Unpaid help","Unpaid help","Unpaid help","No answer","Unpaid help","Unpaid help","Woman"
"1487","Male",69,"Couple without children","Distrito de Chamberí","Man","Man","Man","Man","None",NA,"Both","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Man"
"1488","Female",65,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"1489","Female",72,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Man","None",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"1490","Female",62,"Couple without children","Distrito de Chamberí","Man","Man","Man","Man","Man",NA,NA,"Man","No help","No help","No help","No help","No help","No answer","No answer","No help","Man"
"1491","Female",78,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Man","None",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"1492","Female",54,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","None",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"1493","Female",87,"Couple without children","Distrito de Chamberí","Woman","Woman","Both","Both","None",NA,"Both","Both","Paid help","Paid help","Paid help","No help","No help","No answer","No help","No help","Both"
"1494","Female",70,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"None","Both","No help","No help","No help","Unpaid help","Unpaid help","No answer","Unpaid help","Unpaid help","Both"
"1495","Male",77,"Couple without children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1496","Female",86,"Couple without children","Distrito de Chamberí","Woman","Woman","Woman","Woman","None",NA,"Woman","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","Woman"
"1497","Female",64,"Couple with children","Distrito de Chamberí","None","None","Woman","Both","None",NA,"None","None","Paid help","Paid help","No help","No help","Paid help","No answer","No help","No help","None"
"1498","Male",75,"Couple with children","Distrito de Chamberí","Woman","Woman","Woman","Man","Both",NA,"None","None","Paid help","No help","No help","No help","Paid help","No answer","No help","No help","Woman"
"1499","Male",37,"Couple with children","Distrito de Chamberí","None","None","Both","Both","Man","Both",NA,"None","Paid help","Paid help","No help","No help","No help","No help","No answer","No help","Both"
"1500","Male",68,"Couple with children","Distrito de Chamberí","None","None","Man","Both","None",NA,"None","None","Paid help","Paid help","No help","No help","Paid help","No answer","No help","No help","None"
"1501","Male",41,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"Both","Both","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1502","Male",42,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Man","Both",NA,"Both","No help","No help","No help","No help","No help","No help","No answer","No help","Both"
"1503","Female",70,"Couple with children","Distrito de Chamberí","Woman","Woman","Woman","Man","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"1504","Female",55,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,NA,"Both","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"1505","Male",56,"Couple with children","Distrito de Chamberí","Man","Man","Man","Man","Man","Both","Man","Man","Paid help","Paid help","Paid help","No help","No help","No help","No help","No help","Man"
"1506","Male",65,"Couple with children","Distrito de Chamberí","Woman","Woman","Man","Man","Man",NA,"Both","Both","Paid help","No help","No help","No help","No help","No answer","Unpaid help","Unpaid help","Man"
"1507","Male",56,"Couple with children","Distrito de Chamberí","None","Woman","Both","Man","Man",NA,NA,"None","Paid help","No help","No help","No help","No help","No answer","No answer","Paid help","Man"
"1508","Male",73,"Couple with children","Distrito de Chamberí","None","Woman","Both","Both","Man",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1509","Male",27,"Couple with children","Distrito de Chamberí","Man","Both","Both","Man","Man",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1510","Male",69,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","None",NA,"None","None","Paid help","Paid help","No help","No help","No help","No answer","No help","Paid help","Both"
"1511","Male",83,"Couple with children","Distrito de Chamberí","Both","Both","Both","None","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"1512","Male",55,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"1513","Female",62,"Couple with children","Distrito de Chamberí","Woman","Woman","Woman","Woman","None",NA,"Woman","None","No help","No help","No help","No help","No help","No answer","No help","No help","Woman"
"1514","Male",45,"Couple with children","Distrito de Chamberí","Woman","Woman","Both","Both","Man","Both",NA,"None","No help","No help","No help","No help","No help","No help","No answer","No help","Both"
"1515","Female",44,"Couple with children","Distrito de Chamberí","Woman","Woman","Woman","Man","None","Both",NA,"None","Paid help","No help","No help","No help","Paid help","No help","No answer","No help","Woman"
"1516","Male",70,"Couple with children","Distrito de Chamberí","Both","Woman","Both","Man","Both",NA,"None","None","Paid help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1517","Male",58,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Man",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"1518","Male",28,"Couple with children","Distrito de Chamberí","Woman","Woman","Woman","Both","Man",NA,"None","Both","Paid help","Paid help","Paid help","No help","Paid help","No answer","No help","No help","Woman"
"1519","Male",55,"Couple with children","Distrito de Chamberí","Woman","Woman","Both","Man","None",NA,NA,"None","No help","No help","No help","No help","Paid help","No answer","No answer","No help","None"
"1520","Female",65,"Couple with children","Distrito de Chamberí","Woman","Woman","Both","Both","Man",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1521","Female",70,"Couple with children","Distrito de Chamberí","Both","Woman","Both","Both","None",NA,"None","None","No help","No help","No help","No help","No help","No answer","No help","No help","None"
"1522","Female",40,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Both","Both",NA,"None","Paid help","Paid help","Paid help","No help","Paid help","No help","No answer","No help","Both"
"1523","Female",50,"Couple with children","Distrito de Chamberí","Woman","Woman","Both","Man","None","Woman",NA,"Woman","No help","No help","No help","No help","No help","No help","No answer","No help","Woman"
"1524","Male",67,"Couple with children","Distrito de Chamberí","Man","Both","Both","Both","Both",NA,"None","Both","No help","No help","No help","No help","Paid help","No answer","No help","No help","Both"
"1525","Female",54,"Couple with children","Distrito de Chamberí","Woman","Woman","Woman","Woman","Woman",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Woman"
"1526","Female",74,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"None","None","Unpaid help","Unpaid help","Unpaid help","Unpaid help","Unpaid help","No answer","No help","Paid help","Both"
"1527","Male",43,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Both","Both",NA,"None","No help","No help","No help","No help","No help","No help","No answer","No help","Both"
"1528","Female",59,"Couple with children","Distrito de Chamberí","Both","Both","Both","Woman","None",NA,NA,"Both","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"1529","Female",39,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Both","Woman",NA,"None","Paid help","No help","No help","No help","Paid help","Paid help","No answer","No help","Both"
"1530","Male",51,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Both","Both",NA,"Both","No help","No help","No help","No help","No help","No help","No answer","No help","Both"
"1531","Male",54,"Couple with children","Distrito de Chamberí","Both","Both","Man","Both","None",NA,NA,"Woman","No help","Unpaid help","No help","Paid help","Paid help","No answer","No answer","No help","Both"
"1532","Male",87,"Couple with children","Distrito de Chamberí","Woman","Woman","Woman","Man","None",NA,"None","None","No help","No help","No help","No help","Paid help","No answer","No help","No help","None"
"1533","Male",62,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,NA,"Both","No help","No help","No help","No help","No help","No answer","No answer","No help","Both"
"1534","Female",50,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Both",NA,"Both","None","No help","No help","No help","No help","No help","No answer","No help","No help","Both"
"1535","Male",57,"Couple with children","Distrito de Chamberí","Both","Both","Man","Man","None",NA,NA,"None","No help","No help","No help","No help","No help","No answer","No answer","No help","Man"
"1536","Male",39,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Both","Both",NA,"None","No help","No help","No help","No help","Paid help","No help","No answer","No help","Both"
"1537","Male",62,"Couple with children","Distrito de Chamberí","Both","Both","Both","Both","Man",NA,NA,"Man","No help","No help","No help","No help","Paid help","No answer","No answer","Unpaid help","Both"
"1538","Female",35,"Couple with children","Distrito de Chamberí","None","Woman","Both","Both","None","Woman",NA,"None","Paid help","No help","No help","No help","Paid help","Unpaid help","No answer","No help","Woman"
